Experiment: floating_5det_two_layer_low_tile
Date: 20260406_1609
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   95 |   3.950123 |    0.8674 | 0.064304 |  0.9250 | 1.00e-03 | 50.9312 | 1500.0000 |   78.09 | 
   96 |   2.459894 |    0.8759 | 0.063893 |  0.9250 | 1.00e-03 | 50.9855 | 1500.0000 |   77.75 | 
   97 |   2.448230 |    0.8630 | 0.064495 |  0.8790 | 1.00e-03 | 50.8552 | 1500.0000 |   80.87 | 
   98 |   4.286477 |    0.8749 | 0.064451 |  0.8860 | 1.00e-03 | 50.8564 | 1500.0000 |   79.36 | 
   99 |   3.731014 |    0.8754 | 0.064647 |  0.9070 | 1.00e-03 | 50.7554 | 1500.0000 |   79.78 | 
  100 |   3.594770 |    0.8727 | 0.063773 |  0.9180 | 1.00e-03 | 51.1556 | 1500.0000 |   78.89 | Best Model Saved
  101 |   2.659359 |    0.8654 | 0.064510 |  0.8720 | 1.00e-03 | 50.8560 | 1500.0000 |   80.95 | 
  102 |   3.251441 |    0.8726 | 0.063673 |  0.9195 | 1.00e-03 | 51.2178 | 1500.0000 |   81.02 | Best Model Saved
  103 |   2.857714 |    0.8795 | 0.063636 |  0.9245 | 1.00e-03 | 51.1578 | 1500.0000 |   80.05 | 
  104 |   3.444214 |    0.8768 | 0.063166 |  0.9385 | 1.00e-03 | 51.3809 | 1500.0000 |   80.62 | Best Model Saved
  105 |   4.369440 |    0.8670 | 0.063941 |  0.9060 | 1.00e-03 | 51.1010 | 1500.0000 |   77.39 | 
  106 |   3.090602 |    0.8783 | 0.063218 |  0.9190 | 1.00e-03 | 51.4127 | 1500.0000 |   81.99 | 
  107 |   3.835655 |    0.8667 | 0.063499 |  0.8945 | 1.00e-03 | 51.4093 | 1500.0000 |   80.07 | 
  108 |   1.940425 |    0.8826 | 0.063216 |  0.9155 | 1.00e-03 | 51.4418 | 1500.0000 |   80.20 | Best Model Saved
  109 |   3.719068 |    0.8726 | 0.064627 |  0.8475 | 1.00e-03 | 50.9153 | 1500.0000 |   80.72 | 
  110 |   4.380813 |    0.8707 | 0.063251 |  0.9245 | 1.00e-03 | 51.3589 | 1500.0000 |   82.46 | 
  111 |   3.276546 |    0.8615 | 0.064413 |  0.8760 | 1.00e-03 | 50.9796 | 1500.0000 |   82.28 | 
  112 |   5.298679 |    0.8720 | 0.063954 |  0.8840 | 1.00e-03 | 51.1713 | 1500.0000 |   81.30 | 
  113 |   4.086592 |    0.8768 | 0.063462 |  0.9190 | 1.00e-03 | 51.3310 | 1500.0000 |   78.69 | 
  114 |   4.493395 |    0.8751 | 0.063252 |  0.9080 | 1.00e-03 | 51.4978 | 1500.0000 |   79.31 | Best Model Saved
  115 |   4.476076 |    0.8747 | 0.062853 |  0.9265 | 1.00e-03 | 51.5874 | 1500.0000 |   80.00 | Best Model Saved
  116 |   3.456053 |    0.8754 | 0.063151 |  0.8850 | 1.00e-03 | 51.5492 | 1500.0000 |   81.75 | 
