Experiment: floating_5det_one
Date: 20260405_0338
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   87 | 1785.572131 |    0.9458 | 1209.510470 |  0.9395 | 1.00e-03 | 55.1887 | 1600.0000 |   54.14 | 
   88 | 1967.298388 |    0.9389 | 1155.520973 |  0.9620 | 1.00e-03 | 55.1581 | 1600.0000 |   53.86 | 
   89 | 1846.954660 |    0.9403 | 1281.434380 |  0.9325 | 1.00e-03 | 55.0440 | 1600.0000 |   56.59 | 
   90 | 1779.029638 |    0.9465 | 1158.124005 |  0.9745 | 1.00e-03 | 55.0511 | 1600.0000 |   57.19 | 
   91 | 1812.278488 |    0.9426 | 1150.730208 |  0.9655 | 1.00e-03 | 55.1138 | 1600.0000 |   55.42 | 
   92 | 1790.074601 |    0.9390 | 1124.762484 |  0.9600 | 1.00e-03 | 55.2941 | 1600.0000 |   55.07 | 
   93 | 1869.143543 |    0.9370 | 1126.282609 |  0.9625 | 1.00e-03 | 55.2919 | 1600.0000 |   56.73 | 
   94 | 1672.254674 |    0.9472 | 1149.009875 |  0.9595 | 1.00e-03 | 55.1391 | 1600.0000 |   55.76 | 
   95 | 1704.019900 |    0.9486 | 1045.904048 |  0.9745 | 1.00e-03 | 55.4129 | 1600.0000 |   54.50 | Best Model Saved
   96 | 1764.381631 |    0.9412 | 1089.362478 |  0.9745 | 1.00e-03 | 55.5977 | 1600.0000 |   53.27 | Best Model Saved
   97 | 1817.889250 |    0.9491 | 1076.808418 |  0.9520 | 1.00e-03 | 55.2898 | 1600.0000 |   55.61 | 
   98 | 1807.539609 |    0.9404 | 1104.772028 |  0.9675 | 1.00e-03 | 55.3062 | 1600.0000 |   56.81 | 
   99 | 1736.918588 |    0.9494 | 1003.960064 |  0.9765 | 1.00e-03 | 55.1992 | 1600.0000 |   54.67 | 
  100 | 1657.096078 |    0.9465 | 1018.354891 |  0.9755 | 1.00e-03 | 55.5991 | 1600.0000 |   54.79 | Best Model Saved
  101 | 1841.570618 |    0.9383 | 1068.155654 |  0.9800 | 1.00e-03 | 55.4471 | 1600.0000 |   56.59 | 
  102 | 1611.442268 |    0.9504 | 936.080262 |  0.9790 | 1.00e-03 | 55.4199 | 1600.0000 |   56.82 | 
  103 | 1644.581116 |    0.9465 | 940.402362 |  0.9835 | 1.00e-03 | 55.7322 | 1600.0000 |   56.76 | Best Model Saved
  104 | 1576.720149 |    0.9537 | 903.663482 |  0.9740 | 1.00e-03 | 55.4399 | 1600.0000 |   55.33 | 
  105 | 1626.186366 |    0.9510 | 895.464485 |  0.9620 | 1.00e-03 | 55.6471 | 1600.0000 |   55.40 | 
  106 | 1614.608422 |    0.9504 | 992.767137 |  0.9815 | 1.00e-03 | 55.5802 | 1600.0000 |   56.51 | 
  107 | 1457.151148 |    0.9539 | 855.325510 |  0.9615 | 1.00e-03 | 55.6766 | 1600.0000 |   54.76 | 
  108 | 1767.870798 |    0.9449 | 982.139028 |  0.9865 | 1.00e-03 | 55.7936 | 1600.0000 |   59.73 | Best Model Saved
  109 | 1693.651876 |    0.9480 | 839.449144 |  0.9760 | 1.00e-03 | 55.6648 | 1600.0000 |   57.09 | 
  110 | 1434.932382 |    0.9586 | 965.516692 |  0.9475 | 1.00e-03 | 55.4631 | 1600.0000 |   56.98 | 
  111 | 1571.652089 |    0.9476 | 866.987294 |  0.9460 | 1.00e-03 | 55.8105 | 1600.0000 |   58.23 | 
  112 | 1455.609307 |    0.9500 | 923.907033 |  0.9830 | 1.00e-03 | 55.7362 | 1600.0000 |   58.41 | 
  113 | 1466.013544 |    0.9539 | 974.224001 |  0.9815 | 1.00e-03 | 55.8075 | 1600.0000 |   58.04 | Best Model Saved
  114 | 1609.283033 |    0.9503 | 881.635481 |  0.9485 | 1.00e-03 | 55.8515 | 1600.0000 |   58.39 | 
  115 | 1445.410709 |    0.9490 | 830.656518 |  0.9745 | 1.00e-03 | 55.7462 | 1600.0000 |   57.76 | 
  116 | 1535.665188 |    0.9534 | 763.136425 |  0.9330 | 1.00e-03 | 55.5371 | 1600.0000 |   54.94 | 
  117 | 1455.814244 |    0.9455 | 848.666936 |  0.9855 | 1.00e-03 | 55.8928 | 1600.0000 |   56.59 | Best Model Saved
  118 | 1442.732862 |    0.9501 | 785.323181 |  0.9835 | 1.00e-03 | 55.8179 | 1600.0000 |   54.78 | 
  119 | 1362.618061 |    0.9650 | 791.344039 |  0.9825 | 1.00e-03 | 55.8967 | 1600.0000 |   55.92 | 
  120 | 1412.483080 |    0.9571 | 840.633571 |  0.9790 | 1.00e-03 | 55.7328 | 1600.0000 |   60.90 | 
  121 | 1352.708619 |    0.9514 | 817.106025 |  0.9880 | 1.00e-03 | 56.0408 | 1600.0000 |   57.73 | Best Model Saved
  122 | 1362.545385 |    0.9593 | 698.997546 |  0.9495 | 1.00e-03 | 55.7569 | 1600.0000 |   57.74 | 
  123 | 1304.827285 |    0.9573 | 817.544587 |  0.9835 | 1.00e-03 | 55.9188 | 1600.0000 |   57.91 | 
  124 | 1306.313763 |    0.9626 | 729.725161 |  0.9845 | 1.00e-03 | 56.0245 | 1600.0000 |   57.01 | 
  125 | 1333.216594 |    0.9607 | 713.846033 |  0.9800 | 1.00e-03 | 55.7358 | 1600.0000 |   58.26 | 
  126 | 1295.319544 |    0.9615 | 652.465901 |  0.9670 | 1.00e-03 | 55.9036 | 1600.0000 |   54.71 | 
  127 | 1387.722497 |    0.9511 | 731.348040 |  0.9415 | 1.00e-03 | 56.0334 | 1600.0000 |   57.02 | 
  128 | 1353.332338 |    0.9538 | 741.947571 |  0.9800 | 1.00e-03 | 55.9245 | 1600.0000 |   57.80 | 
  129 | 1341.047055 |    0.9569 | 768.786424 |  0.9845 | 1.00e-03 | 56.0095 | 1600.0000 |   54.40 | 
  130 | 1373.503028 |    0.9609 | 645.440419 |  0.9495 | 1.00e-03 | 55.9521 | 1600.0000 |   56.14 | 
  131 | 1484.250977 |    0.9523 | 711.558989 |  0.9850 | 1.00e-03 | 56.0303 | 1600.0000 |   57.20 | 
  132 | 1337.253420 |    0.9548 | 749.538105 |  0.9725 | 5.00e-04 | 55.9955 | 1600.0000 |   56.60 | 
  133 | 1218.839611 |    0.9607 | 618.876376 |  0.9820 | 5.00e-04 | 56.1569 | 1600.0000 |   57.92 | Best Model Saved
  134 | 1184.070997 |    0.9624 | 703.873869 |  0.9845 | 5.00e-04 | 56.1137 | 1600.0000 |   54.02 | 
  135 | 1259.056928 |    0.9705 | 600.952306 |  0.9820 | 5.00e-04 | 56.2086 | 1600.0000 |   55.86 | Best Model Saved
  136 | 1152.180425 |    0.9593 | 631.846250 |  0.9915 | 5.00e-04 | 56.3332 | 1600.0000 |   54.59 | Best Model Saved
  137 | 2266.560456 |    0.9697 | -2006.595475 |  0.9820 | 5.00e-04 | 56.3954 | 8000.0000 |   60.29 | Best Model Saved
  138 | 1112.544293 |    0.9657 | 581.607068 |  0.9785 | 5.00e-04 | 56.1301 | 1600.0000 |   56.13 | 
